,geo_A_lat,geo_A_lon,geo_B_lat,geo_B_lon,geo_A_coordinates,geo_B_coordinates,geo_A_id,geo_B_id,id,created,project_id,task_id,user_id,user_ip,finish_time,timeout,calibration,external_uid,media_url,info,task_created,state,quorum,task_calibration,priority_0,n_answers,fav_user_ids
64,-72.96015221,8.766895834,36.2452803,-8.435012594,"(-72.9601522094, 8.76689583431)","(36.2452803015, -8.435012594229999)",65,721,210744,2024-01-21T08:37:48.837356,761,384266,,47.167.220.10,2024-01-21T08:37:51.897755,,,,,"""B""",2024-01-17T18:58:35.178699,completed,0,0,0,1,
65,-116.9994052,67.87438993,10.18245784,4.660801656,"(-116.999405206, 67.8743899266)","(10.1824578421, 4.66080165563)",66,2859,224009,2024-01-31T11:10:08.934455,761,384267,,47.167.220.10,2024-01-31T11:10:12.802223,,,,,"""A""",2024-01-17T18:58:35.321708,completed,0,0,0,1,
66,-96.82253187,52.15910377,47.22952663,-15.42759862,"(-96.82253186610001, 52.1591037743)","(47.229526633999996, -15.427598615)",67,1943,210745,2024-01-21T08:37:52.220326,761,384268,,47.167.220.10,2024-01-21T08:38:07.463096,,,,,"""A""",2024-01-17T18:58:35.471027,completed,0,0,0,1,
67,-91.24202893,42.74165412,40.54900448,48.29807102,"(-91.2420289307, 42.7416541216)","(40.549004479299995, 48.298071021300004)",68,974,224224,2024-01-31T12:37:14.233880,761,384269,,47.167.220.10,2024-01-31T12:37:16.631820,,,,,"""A""",2024-01-17T18:58:35.597400,completed,0,0,0,1,
68,32.95743706,59.77729293,52.68174738,59.72666588,"(32.957437061, 59.7772929283)","(52.6817473835, 59.726665884700004)",69,2526,210746,2024-01-21T08:38:07.882640,761,384270,,47.167.220.10,2024-01-21T08:38:15.173533,,,,,"""B""",2024-01-17T18:58:35.729656,completed,0,0,0,1,
69,-1.098107456,41.78199499,-52.21330045,-19.93114312,"(-1.09810745564, 41.7819949909)","(-52.2133004537, -19.9311431237)",70,1469,224010,2024-01-31T11:10:13.633458,761,384271,,47.167.220.10,2024-01-31T11:10:19.286300,,,,,"""B""",2024-01-17T18:58:35.846489,completed,0,0,0,1,
70,-85.88190824,41.70488777,2.227431552,50.86727633,"(-85.8819082436, 41.704887766700004)","(2.22743155235, 50.8672763335)",71,1015,210747,2024-01-21T08:38:15.491579,761,384272,,47.167.220.10,2024-01-21T08:38:21.972485,,,,,"""B""",2024-01-17T18:58:35.958248,completed,0,0,0,1,
71,-82.77488674,31.85931444,-100.67667,18.66468962,"(-82.7748867393, 31.8593144371)","(-100.676669957, 18.6646896197)",72,2030,224083,2024-01-31T11:34:54.552830,761,384273,,47.167.220.10,2024-01-31T11:34:59.943209,,,,,"""A""",2024-01-17T18:58:36.079462,completed,0,0,0,1,
72,-52.70632158,-27.26762288,-71.01703617,-33.7074435,"(-52.7063215784, -27.2676228843)","(-71.0170361696, -33.7074434973)",73,4722,210748,2024-01-21T08:38:22.296210,761,384274,,47.167.220.10,2024-01-21T08:38:26.559678,,,,,"""A""",2024-01-17T18:58:36.200767,completed,0,0,0,1,
73,-61.66420463,-33.09155232,-70.87561315,46.29050488,"(-61.6642046301, -33.0915523151)","(-70.8756131451, 46.290504882200004)",74,3388,224011,2024-01-31T11:10:19.624105,761,384275,,47.167.220.10,2024-01-31T11:10:24.431570,,,,,"""B""",2024-01-17T18:58:36.313034,completed,0,0,0,1,
